Fulfillment SKU,Image URL,Name,SKU,UPC,Weight Units,Product ID,Quantity,Shipping Amount,Tax Amount,Unit Price,Weight Value,Marketplace,shipstation_ordernumber_as_id,ordernumber_sku_as_id
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,4.33,0,14.99,,Amazon,113-5710670-3053043,113-5710670-3053043-8I-W2IE-AVV5
,http://ecx.images-amazon.com/images/I/31wLcuHxFZL.jpg,"Two Scents Droplet Nebulizing Diffuser - Waterless diffuser For Essential Oils and Aromatherapy | Wood Base, Glass Top And Touch | Fills Even Big Rooms In Minutes With Organic Aromas (Light Wood)",B07PFG2Q3Z,,,,1,10.86,0,59.95,,Amazon,112-4455017-9184266,112-4455017-9184266-B07PFG2Q3Z
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,4.06,0,14.99,,Amazon,112-6923984-9068215,112-6923984-9068215-8I-W2IE-AVV5
,http://ecx.images-amazon.com/images/I/41H0qZroIUL.jpg,Two Scents Glass Bottles for Essential Oils - 10 mL Refillable Empty Bottle with Orifice Reducer Dropper and Cap - DIY Tool & Accessories for Aromatherapy - Carrier Oil Kit - 25 Pack Amber Brown,B07JMHVHGF,,,,1,0,1.52,18.95,,Amazon,113-9432355-6458648,113-9432355-6458648-B07JMHVHGF
,https://i.ebayimg.com/00/s/MTQxN1gxNjAw/z/JiEAAOSwTspdSvEe/$_1.JPG?set_id=8800005007,SLR Brands 175 gram Star Sport Glow In the Dark Flying Disc Frisbee for Night,B076PJ1KHS,,,,1,3.96,0,15.99,,eBay,158,158-B076PJ1KHS
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,4.33,0,14.99,,Amazon,113-5233783-8773839,113-5233783-8773839-8I-W2IE-AVV5
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,4.33,0,14.99,,Amazon,112-3904058-2661004,112-3904058-2661004-8I-W2IE-AVV5
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,3.96,0,14.99,,Amazon,114-2175479-2337024,114-2175479-2337024-8I-W2IE-AVV5
,https://i.ebayimg.com/00/s/OTA0WDEwODA=/z/OaYAAOSwBYddYBKb/$_57.JPG?set_id=8800005007,"Custom Photo Blanket Personalized Bedding - Children, Adults, Gifts (60 x 43 in)",,,,,1,0,2.8,32.99,,eBay,159,159-A-1059
,https://i.ebayimg.com/00/s/MTEyNVgxNTAw/z/78YAAOSwzUVdSwgc/$_57.JPG?set_id=8800005007,Wave Runner 6.0 Bouncing and Skipping Ball for Water Pool Ocean (Colors Vary),,,,,1,3.63,0,8.99,,eBay,160,160-A-1060
,https://i.ebayimg.com/00/s/OTA0WDEwODA=/z/OaYAAOSwBYddYBKb/$_57.JPG?set_id=8800005007,"Custom Photo Blanket Personalized Bedding - Children, Adults, Gifts (60 x 43 in)",,,,,1,0,0,32.99,,eBay,161,161-A-1061
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,2,8.5,0,14.99,,Amazon,112-3995435-3837058,112-3995435-3837058-8I-W2IE-AVV5
,https://i.ebayimg.com/00/s/MTYwMFgxMzY1/z/fq4AAOSw8sZdSd0U/$_57.PNG?set_id=8800005007,Avocado Pillow Cute Plush Toys Stuffed Dolls Cushion Soft Comfortable For Decor[7 in],,,,,1,3.18,0,14.99,,eBay,162,162-A-1063
,http://ecx.images-amazon.com/images/I/318fN-YbWcL.jpg,"SLR Brands Womans Colorblock Pocket Casual Tie Waist Yoga Jogger Pants (Large/XL, Black)",SV-8SE2-GM2U,,,,2,7.55,0,17.99,,Amazon,111-4960964-5602632,111-4960964-5602632-SV-8SE2-GM2U
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,3.96,0,14.99,,Amazon,112-5856244-3976232,112-5856244-3976232-8I-W2IE-AVV5
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,4.06,0.95,14.99,,Amazon,112-3918621-7209845,112-3918621-7209845-8I-W2IE-AVV5
,http://ecx.images-amazon.com/images/I/51f1iD7DEPL.jpg,"SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes (11 M US, Black)",8I-W2IE-AVV5,,,,1,4.06,0,14.99,,Amazon,113-8304438-4781013,113-8304438-4781013-8I-W2IE-AVV5
,https://i.ebayimg.com/00/s/MTYwMFgxMDUx/z/xmgAAOSwcTddSvAp/$_1.JPG?set_id=8800005007,6 Pack Teeth Ball for Dog and Pets with Funny Human Smile Ball Squeaky Chew Toy,TU-SB8I-MPLC,,,,1,4.33,0,12.99,,eBay,163,163-TU-SB8I-MPLC
,https://i.ebayimg.com/00/s/MTYwMFgxMzY1/z/fq4AAOSw8sZdSd0U/$_57.PNG?set_id=8800005007,Avocado Pillow Cute Plush Toys Stuffed Dolls Cushion Soft Comfortable For Decor[15 in],,,,,1,8.25,0,24.99,,eBay,164,164-A-1069
,https://i.ebayimg.com/00/s/OTA0WDEwODA=/z/OaYAAOSwBYddYBKb/$_57.JPG?set_id=8800005007,"Custom Photo Blanket Personalized Bedding - Children, Adults, Gifts (60 x 43 in)",,,,,1,0,0,34.99,,eBay,165,165-A-1070
