"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"sku_as_id__c"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq7QAA";"7.99";"CS-4J08-RWKA"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq8QAA";"9.99";"D1-BDF6-O2CX"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq9QAA";"10.99";"D7-AR57-OPHF"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqAQAQ";"14.99";"DM-FYW5-6U86"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqBQAQ";"19.99";"DN-MNMI-NJQN"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqCQAQ";"28.99";"DU-7UQU-NPC0"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqDQAQ";"12.99";"F6-KFH0-KFGN"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqEQAQ";"7.99";"fb"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqFQAQ";"7.99";"FBM- SLR2601-BLK-M"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqGQAQ";"12.99";"FBM- SLR7422-BLK/RED-12"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqHQAQ";"7.99";"FBM-SLR2601-BLK-L"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqIQAQ";"7.99";"FBM-SLR2601-BLK-XL"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqJQAQ";"7.99";"FBM-SLR-MFW140-WHT-12"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqKQAQ";"7.99";"FL-PN0I-V517"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqLQAQ";"11.99";"FN-39VW-ZJNR"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqMQAQ";"17.99";"GT-2WLJ-HBN8"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqNQAQ";"9.99";"GY-Q0ES-TELC"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqOQAQ";"14.99";"HT-H18E-1T6F"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqPQAQ";"12.99";"HV-QX5X-PMLM"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqQQAQ";"59.95";"IR-7HGI-RCV8"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqRQAQ";"14.99";"IX-OAUR-3S6X"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqSQAQ";"12.99";"J3-QRG9-J032"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqTQAQ";"14.99";"J4-D0C0-FZHK"
